2012-07-21 09:30:00.385919  29.27647374396 -87.67658790089
2012-07-21 09:45:00.388792  29.27600352702 -87.67407808293
2012-07-21 10:00:00.391676  29.27536370108 -87.67160727867
2012-07-21 10:15:00.394559  29.27457121040 -87.66917013428
2012-07-21 10:30:00.397432  29.27365674336 -87.66675399188
2012-07-21 10:45:00.400316  29.27264739295 -87.66433963865
2012-07-21 11:00:00.403199  29.27155539484 -87.66191008665
2012-07-21 11:15:00.406073  29.27037984116 -87.65945989241
2012-07-21 11:30:00.408956  29.26911597453 -87.65700103611
2012-07-21 11:45:00.411839  29.26776192784 -87.65456355267
2012-07-21 12:00:00.414713  29.26632074503 -87.65218770464
2012-07-21 12:15:00.417596  29.26480035372 -87.64991021744
2012-07-21 12:30:00.420479  29.26321276494 -87.64775135896
2012-07-21 12:45:00.423353  29.26157542032 -87.64570649500
2012-07-21 13:00:00.426236  29.25991516200 -87.64374343263
2012-07-21 13:15:00.429119  29.25826863173 -87.64180780603
2012-07-21 13:30:00.431993  29.25667456338 -87.63983846692
2012-07-21 13:45:00.434876  29.25516133359 -87.63778982218
2012-07-21 14:00:00.437759  29.25373760149 -87.63565069039
2012-07-21 14:15:00.440633  29.25239213935 -87.63344798354
2012-07-21 14:30:00.443516  29.25110355015 -87.63123291620
2012-07-21 14:45:00.446400  29.24985462843 -87.62905907520
2012-07-21 15:00:00.449273  29.24864365680 -87.62696452071
2012-07-21 15:15:00.452156  29.24748793628 -87.62496396158
2012-07-21 15:30:00.455040  29.24641815292 -87.62304843291
2012-07-21 15:45:00.457913  29.24546513156 -87.62118731659
2012-07-21 16:00:00.460796  29.24464528003 -87.61933316993
2012-07-21 16:15:00.463680  29.24395320952 -87.61743277781
2012-07-21 16:30:00.466553  29.24336532238 -87.61544416634
2012-07-21 16:45:00.469436  29.24285009828 -87.61335607873
2012-07-21 17:00:00.472320  29.24237720660 -87.61120520162
2012-07-21 17:15:00.475193  29.24191993305 -87.60908305982
2012-07-21 17:30:00.478076  29.24145179262 -87.60712053792
2012-07-21 17:45:00.480960  29.24094449691 -87.60544267815
